NO,URL
1,https://www.samsunglife.com/
2,https://dbinsu.kr/
3,https://goodrichmall.com/
4,https://e-insmarket.or.kr/intro.knia
5,https://cont.insure.or.kr/cont_web/intro.do
6,https://direct.samsungfire.com/
7,https://www.klia.or.kr/
8,https://www.kbinsure.co.kr/main.ec
9,https://mdirect.kbinsure.co.kr/home/
10,https://www.nhis.or.kr/nhis/index.do
11,https://www.abllife.co.kr/
12,https://www.aiadirect.co.kr/
13,https://store.meritzfire.com/main.do#!/
14,https://www.hwgi.kr/
15,https://www.hi.co.kr/index.jsp
16,http://www.kiri.or.kr/index.do
17,https://axa.co.kr/
18,https://cont.knia.or.kr/main.knia
19,https://www.hwgeneralins.com/
20,https://www.kyobo.co.kr/
21,https://www.shinhancard.com/conts/person/optional_service/insurance_mall/insurance_all/car/list.jsp
22,https://www.lotteinsumall.com/healthci
23,https://www.lina.co.kr/main/main.htm
24,https://www.lifeplanet.co.kr/
25,https://www.educar.co.kr/
26,https://www.kebhana.com/cont/mall/mall19/index.jsp
27,https://direct.mggeneralins.com/MA010010DM.scp
28,https://aipis.kidi.or.kr:1443/
29,https://www.chubb.com/kr-kr/
30,https://m.lotteins.co.kr/
31,https://www.orangelife.co.kr/
32,https://shinhanlife.shinhan-on.co.kr/
33,https://spot.wooribank.com/pot/Dream?withyou=ISBAC0075
34,https://www.insis.or.kr/insis/insisweb/index.jsp
35,http://www.shinhanlife.co.kr/bigLife.do
36,https://www.metlife.co.kr/
37,http://directidb.co.kr/
38,https://online.myangel.co.kr/
39,https://m.aig.co.kr/wm/dpwmm001.html
40,https://www.heungkukfire.co.kr/MAW/main1.do
41,https://www.nhfire.co.kr/index.nhfire
42,http://www.e-cleanins.or.kr/
43,https://www.kdic.or.kr/
44,http://silbi.net/
45,https://www.cardif.co.kr/ko/home
46,https://direct.kdblife.co.kr/
47,https://www.acedirect.co.kr/
48,https://www.yangban.app/
49,http://insulife.kr/
50,http://ksbohum.kr/
51,http://directcars.kr/
52,http://onlinecar.co.kr/
53,http://www.boheommall.com/
54,https://www.onsure.co.kr/
55,https://www.bestbohum.net:8117/
56,http://ss3.inr.kr/
