NO,URL
1,https://www.cjlogistics.com/
2,https://www.cupost.co.kr/
3,https://www.cvsnet.co.kr/
4,https://www.hanjin.co.kr/
5,https://ex.nhlogis.co.kr/
6,https://www.lotteglogis.com/
7,https://parcel.epost.go.kr/
8,https://www.ilogen.com/
9,https://kdexp.com/
10,http://www.chunilps.co.kr/
11,https://www.cjlogistics.com/
12,https://www.cupost.co.kr/
13,https://www.cvsnet.co.kr/
14,https://www.hanjin.co.kr/
15,https://ex.nhlogis.co.kr/
16,https://www.lotteglogis.com/
17,https://parcel.epost.go.kr/
18,https://www.ilogen.com/
19,https://kdexp.com/
20,http://www.chunilps.co.kr/
21,http://www.pantos.com/
22,http://www.ds3211.co.kr/
23,https://www.kunyoung.com/
24,http://www.honamlogis.co.kr/
25,http://yongmalogis.co.kr/
26,https://www.hanips.com/
27,https://www.aciexpress.net/
28,http://www.shl1978.com/
29,http://www.kb2b.or.kr/
30,http://www.slx.co.kr/
31,https://www.ilyanglogis.com/
32,http://chainlogis.com/
33,https://www.homepick.com/
34,https://hdexp.co.kr/
35,http://www.e-handex.co.kr/
36,https://ems.epost.go.kr/
37,https://www.dhl.com/
38,https://mydhl.express.dhl/
39,https://www.tnt.com/
40,https://www.ups.com/kr/ko/Home.page
41,https://www.fedex.com/ko-kr/home.html
42,https://www.usps.com/
43,https://www.aftership.com/ko/couriers/i-parcel
44,https://www.trackingmore.com/i-parcel-tracking.html
45,https://www.dhl.com/global-en/home/ship/direct-mail-for-business.html
46,http://www.pantos.com
47,http://www.airboyexpress.com
48,http://www.gsmnton.com/
49,https://www.ecmsglobal.com/
50,http://www.kglnetworks.com/
51,http://www.goodstoluck.co.kr/
52,https://www.gsiexpress.com/
53,http://www.slx.co.kr/
54,http://www.woorihb.com/
55,http://www.sebang.com/
56,https://www.kgbps.com/
57,http://www.cwaycorp.com/
58,http://www.duxglobal.co.uk/
59,http://www.swgexp.com/
60,http://www.homeinnovation.co.kr
61,https://ieunha.co.kr/
62,https://www.ga-me.com/
63,http://www.yjsglob.com/
64,http://winus.logisall.com/uDlvTrackingPage.action
65,http://www.ddlogis.com/
66,http://www.daelim1004.com/
67,http://www.daelimlogis.com/
68,http://www.lotos.co.jp/
69,http://www.anytrack.co.kr/
70,http://www.shfly.co.kr/
71,https://ik82.modoo.at/
72,http://www.tpmkorea.co.kr/
73,http://tpmsystems.cafe24.com/tpm_TB/tpmlogis.php
74,https://www.zenielsystem.co.kr/
75,https://www.smart-logis.co.kr/
76,http://www.smartlogis.kr
77,http://www.etomars.com/
78,http://www.logisall.com
79,https://www.freshsolutions.co.kr/
80,http://pr1.goodsflow.com/joinservice/g/index.html
81,https://www.klogis.com/
82,https://www.satages.com/index.html
83,https://www.hadamain.com/subpage/transport/transport_hada.php?gclid=EAIaIQobChMI_M7I0pvm8AIVEDErCh3IDwjSEAMYAiAAEgLO3_D_BwE
84,https://15888020.com/
85,https://www.logii.com/Main.pm
86,http://doorman.co.kr/
87,https://imyourbox.com/
88,http://www.xn--989al60ae4gzyl.com/
89,http://www.silverquick.kr/
90,https://www.pnpline.co.kr/
91,https://benefits.fastfive.co.kr/cupost/
92,https://www.doorro.com/web/
93,http://histsystem.com/56
94,https://www.codemshop.com/shop/goodsflow/
95,http://womanweb.s-locker.com/
96,https://kdexp.com/main.kd
97,http://www.deliverytracking.kr/
98,https://www.lotteglogis.com/home/main
99,https://www.cyhds.com/main/dreambag
100,https://www.dhl.com/kr-ko/home.html
101,https://www.narita-airport.jp/kr/service/svc_05
102,http://www.kokusai.express/?page_id=879
103,https://www.fedex.com/en-mx/home.html
104,http://injlogis.itpage.kr/
105,http://wblogis.co.kr/
106,http://www.ny347.com/
107,http://dkexpress.org/xe/
108,http://www.jigkoo.com/
109,https://hbaesong.yahoosites.com/
110,http://magicirons.com/price.html
111,http://www.cjkims.com/xe/
112,http://ny.koreaportal.com/yp/yp_list.php?mcode=ent&scode=ent_03
113,https://sendmi.co.kr/
114,https://ktxpress.com/
115,http://ship2korea.iconbm.com/kx.htm
116,http://www.korusexpress.com/
117,http://www.lakoexpress.com/
